Scenario,TID,Test Data,Test Case Description,Pre-Condition,Test Steps,Expected Result,Actual Result,Status,Executed By (QA Name),Misc (Comments),Priority,Is Automated
Login,TC-001,Valid registered email ID + valid password,Verify successful login with valid email and password,User account exists and is active; VWO login page (app.vwo.com) is loaded; network is stable,1. Open app.vwo.com 2. Enter a valid email ID in the 'Enter email ID' field 3. Enter the valid password in the 'Enter password' field 4. Click the 'Sign in' button,User is redirected to the Home Page (dashboard) after successful authentication,,,,Requirement(s): FR-LOGIN-01; FR-LOGIN-02,High,No
Login,TC-002,Invalid email ID (not registered) + valid password,Verify login is rejected for an unregistered email ID,VWO login page is loaded,1. Open app.vwo.com 2. Enter an unregistered email ID 3. Enter a valid password 4. Click 'Sign in',Login fails; error message 'Invalid Username or Password' is displayed; user is NOT redirected to the Home Page,,,,Requirement(s): FR-LOGIN-02; FR-ERR-01,High,No
Login,TC-003,Valid email ID + incorrect password,Verify login is rejected with an incorrect password,VWO login page is loaded; user account exists,1. Open app.vwo.com 2. Enter a valid email ID 3. Enter an incorrect password 4. Click 'Sign in',Login fails; error message 'Invalid Username or Password' is displayed; user is NOT redirected to the Home Page,,,,Requirement(s): FR-LOGIN-02; FR-ERR-01,High,No
Login,TC-004,Valid email ID + valid password (all 3 fields left blank),Verify error handling when login fields are left empty,VWO login page is loaded,1. Open app.vwo.com 2. Leave 'Enter email ID' blank 3. Leave 'Enter password' blank 4. Click 'Sign in',Login is blocked; validation feedback is shown for the empty fields; user is NOT redirected,,,,Requirement(s): FR-LOGIN-02; FR-VALID-01,Medium,No
Login,TC-005,"Malformed email ID (e.g., 'user@@example.com' / missing domain) + valid password",Verify real-time email format validation rejects malformed email IDs,VWO login page is loaded,1. Open app.vwo.com 2. Enter a malformed email ID in the email field 3. Tab/move focus to the password field 4. Observe validation feedback,Email format validation error is displayed on blur; login cannot proceed with the malformed email,,,,Requirement(s): FR-VALID-02,Medium,No
Login,TC-006,Valid email + valid password; 'Remember me' checkbox selected,Verify 'Remember me' persists the login session on the device,VWO login page is loaded; user account exists; cookies enabled in the browser,1. Open app.vwo.com 2. Enter valid email ID and password 3. Select the 'Remember me' checkbox 4. Click 'Sign in' 5. Log out 6. Re-open app.vwo.com,User session is persisted; the user is not required to re-enter credentials on the next visit (remembered credentials option),,,,Requirement(s): FR-UX-04; FR-UX-09,Medium,No
Login,TC-007,Valid email + valid password; 'Remember me' not selected,Verify session is not persisted when 'Remember me' is unchecked,VWO login page is loaded; user account exists,1. Open app.vwo.com 2. Enter valid email ID and password 3. Leave 'Remember me' unchecked 4. Click 'Sign in' 5. Log out 6. Re-open app.vwo.com,Session is not persisted; the user must re-enter credentials after the session ends,,,,Requirement(s): FR-UX-04,Low,No
Login,TC-008,Valid email + valid password; password field eye icon,Verify the password visibility toggle works,VWO login page is loaded,1. Open app.vwo.com 2. Enter a password in the password field 3. Click the eye icon inside the password field 4. Click the eye icon again,Clicking the eye icon reveals the typed password; clicking again masks it,,,,Requirement(s): FR-UX-06,Medium,No
Login,TC-009,Valid email ID + valid password,Verify successful login redirects to the Home Page as per PRD,User account exists and is active; VWO login page is loaded,1. Open app.vwo.com 2. Enter valid credentials 3. Click 'Sign in' 4. Observe the landing page after authentication,User is redirected to the VWO Home Page (dashboard) after successful login,,,,Requirement(s): FR-LOGIN-01; FR-LOGIN-03; FR-INT-01,High,No
Multi-Factor Authentication,TC-010,Valid credentials with 2FA enabled via Google,Verify optional 2FA flow with Google provider,User has 2FA enabled with Google Authenticator; VWO login page is loaded,1. Open app.vwo.com 2. Enter valid email ID and password 3. Click 'Sign in' 4. Complete the Google 2FA challenge,Authentication proceeds only after the Google 2FA challenge is successfully completed; user is then redirected to the Home Page,,,,Requirement(s): FR-LOGIN-04,Medium,No
Multi-Factor Authentication,TC-011,Valid credentials with 2FA enabled via Apple,Verify optional 2FA flow with Apple provider,User has 2FA enabled with Apple; VWO login page is loaded,1. Open app.vwo.com 2. Enter valid email ID and password 3. Click 'Sign in' 4. Complete the Apple 2FA challenge,Authentication proceeds only after the Apple 2FA challenge is successfully completed; user is then redirected to the Home Page,,,,Requirement(s): FR-LOGIN-04,Medium,No
Multi-Factor Authentication,TC-012,Valid credentials; 2FA code intentionally wrong/expired,Verify 2FA rejects an incorrect or expired code,User has 2FA enabled; VWO login page is loaded,1. Open app.vwo.com 2. Enter valid credentials 3. Click 'Sign in' 4. Enter a wrong or expired 2FA code,Authentication is blocked; a clear 2FA error is shown; user is NOT redirected to the Home Page,,,,Requirement(s): FR-LOGIN-04; FR-ERR-02,Medium,No
Single Sign-On,TC-013,Organizational account with SSO enabled,Verify login via 'Sign in using SSO',Enterprise SSO is configured for the organization; VWO login page is loaded,1. Open app.vwo.com 2. Click 'Sign in using SSO' 3. Enter the organizational account details 4. Complete the SSO provider flow,User is authenticated via the enterprise SSO provider and redirected to the Home Page,,,,Requirement(s): FR-LOGIN-05; FR-INT-04,Medium,No
Single Sign-On,TC-014,Organizational account with SSO; invalid credentials,Verify SSO login with invalid organizational credentials,Enterprise SSO is configured; VWO login page is loaded,1. Open app.vwo.com 2. Click 'Sign in using SSO' 3. Enter invalid organizational credentials 4. Complete the flow,SSO authentication fails; a clear error message is displayed; user is NOT redirected to the Home Page,,,,Requirement(s): FR-LOGIN-05; FR-ERR-02,Medium,No
Social Login,TC-015,Google account,Verify login via 'Sign in with Google',Google account exists; VWO login page is loaded,1. Open app.vwo.com 2. Click 'Sign in with Google' 3. Select/enter the Google account 4. Approve the consent,User is authenticated via Google and redirected to the Home Page,,,,Requirement(s): FR-INT-05,Medium,No
