Scenario,TID,Test Data,Test Case Description,Pre-Condition,Test Steps,Expected Result,Actual Result,Status,Executed By (QA Name),Misc (Comments),Priority,Is Automated
Browser Compatibility,TC-037,Valid credentials on Chrome (latest version),Verify login works on Google Chrome,Chrome browser is installed; user account exists,1. Open app.vwo.com in Chrome 2. Enter valid credentials 3. Click 'Sign in',Login completes successfully on Chrome; the Home Page loads correctly,,,,Requirement(s): NFR-COMP-01,High,No
Browser Compatibility,TC-038,Valid credentials on Firefox (latest version),Verify login works on Mozilla Firefox,Firefox browser is installed; user account exists,1. Open app.vwo.com in Firefox 2. Enter valid credentials 3. Click 'Sign in',Login completes successfully on Firefox; the Home Page loads correctly,,,,Requirement(s): NFR-COMP-01,High,No
Browser Compatibility,TC-039,Valid credentials on Microsoft Edge (latest version),Verify login works on Microsoft Edge,Edge browser is installed; user account exists,1. Open app.vwo.com in Edge 2. Enter valid credentials 3. Click 'Sign in',Login completes successfully on Edge; the Home Page loads correctly,,,,Requirement(s): NFR-COMP-01,High,No
Responsive Design,TC-040,Valid credentials on a mobile device (touch interface),"Verify responsive, touch-friendly login on mobile",Mobile device/browser is available; user account exists,1. Open app.vwo.com on a mobile device 2. Verify the layout adapts 3. Enter valid credentials 4. Click 'Sign in',The login page is mobile-optimized with touch-friendly controls; login completes successfully,,,,Requirement(s): NFR-RESP-01,Medium,No
Performance,TC-041,Login page on a standard connection,Verify login page loads within 2 seconds,Standard internet connection; browser cache cleared,1. Clear browser cache 2. Open app.vwo.com 3. Measure the page load time,The login page loads within 2 seconds (page load speed requirement),,,,Requirement(s): NFR-PERF-01,Medium,No
Performance,TC-042,Login page under concurrent load (thousands of simultaneous logins),Verify login remains stable under high concurrent load,Load generation tooling available; non-production environment,1. Generate concurrent login requests simulating thousands of users 2. Monitor response times and errors,The system supports thousands of simultaneous login attempts without failure; login remains available,,,,Requirement(s): NFR-PERF-02; NFR-SCAL-01,Medium,No
Performance,TC-043,Login page; CDN serving static assets,Verify CDN delivers login page assets,CDN configured; browser network inspection available,"1. Open app.vwo.com 2. Inspect the network requests for static assets (images, CSS, JS)","Static assets (compressed images, minified CSS/JS) are served via the CDN",,,,Requirement(s): NFR-PERF-03,Low,No
Security,TC-044,Login page over network traffic,Verify HTTPS/SSL encryption for login communications,Browser installed; network inspection available,1. Open app.vwo.com 2. Check the address bar for HTTPS/lock icon 3. Verify the certificate is valid,All login communications use SSL/TLS encryption; the connection is secure (HTTPS),,,,Requirement(s): NFR-SEC-01,High,No
Security,TC-045,Valid credentials; intercepted network traffic,Verify end-to-end encryption of authentication data transmission,Network inspection tool available; non-production environment,1. Perform a login 2. Capture the traffic 3. Verify credential payloads are encrypted in transit,Authentication data is transmitted with end-to-end encryption; plaintext credentials are not exposed,,,,Requirement(s): NFR-SEC-02,High,No
Security,TC-046,Login requests sent in rapid succession (brute force pattern),Verify rate limiting protects against brute force attacks,Rate limiting configured; non-production environment,1. Send repeated login requests in rapid succession 2. Observe throttling behavior,"Excessive login requests are throttled/blocked (rate limiting), preventing brute force attacks",,,,Requirement(s): NFR-SEC-03,High,No
Security,TC-047,Login form input fields,Verify stored passwords use industry-standard hashing,Database access in a non-production environment,1. Perform a successful login 2. Inspect the stored credential record in the database,Passwords are stored as hashed values using an industry-standard hashing algorithm; plaintext is never stored,,,,Requirement(s): NFR-SEC-05,High,No
Security,TC-048,Login page over the public internet,Verify GDPR compliance in login data handling,Login data captured during authentication,1. Perform a login 2. Review how the authentication data is handled/stored 3. Verify against GDPR requirements,Login data handling is GDPR-compliant (user data protection requirements),,,,Requirement(s): NFR-COMP-02,Medium,No
Accessibility,TC-049,"Login page with screen reader (e.g., NVDA/VoiceOver)",Verify screen reader support via ARIA labels and keyboard navigation,Screen reader software available; VWO login page is loaded,1. Enable the screen reader 2. Navigate the login page using Tab/arrow keys 3. Verify ARIA labels and reading order,All interactive elements are announced correctly by the screen reader; the page is fully keyboard-navigable,,,,Requirement(s): NFR-ACC-01,Medium,No
Accessibility,TC-050,Login page with high-contrast mode enabled,Verify high contrast mode accessibility option,High-contrast mode enabled in the OS/browser; VWO login page is loaded,"1. Enable high contrast mode 2. Open app.vwo.com 3. Verify form fields, buttons and text remain distinguishable",The login page remains usable and legible in high contrast mode for visually impaired users,,,,Requirement(s): NFR-ACC-02,Medium,No
Accessibility,TC-051,Keyboard-only interaction on the login page,Verify full keyboard accessibility of all interactive elements,No mouse/pointer available; VWO login page is loaded,"1. Open app.vwo.com 2. Use Tab, Shift+Tab, Enter and Space to operate all fields, links and buttons","Every interactive element (fields, Sign in, Google/SSO/Passkey buttons, trial CTA, legal links) is reachable and operable via keyboard",,,,Requirement(s): NFR-ACC-03,Medium,No
Accessibility,TC-052,Login page assessed against WCAG 2.1 AA,Verify WCAG 2.1 AA compliance of the login page,Accessibility audit tooling available; VWO login page is loaded,"1. Run an automated accessibility audit (e.g., axe) 2. Manually verify key WCAG 2.1 AA criteria 3. Record violations",The login page meets WCAG 2.1 AA compliance requirements with no critical violations,,,,Requirement(s): NFR-ACC-04,Medium,No
Availability,TC-053,Login service over a 30-day monitoring window,Verify 99.9% uptime of the login service,Monitoring tooling available; login service in production,1. Monitor login service availability over the reporting window 2. Record downtime 3. Compute availability,Login service availability is 99.9% or higher over the reporting period,,,,Requirement(s): NFR-AVAIL-01,Medium,No
Scalability,TC-054,Login traffic from multiple geographic regions,Verify multi-region deployment serves login traffic,Users distributed across regions; VWO login page is loaded,1. Access app.vwo.com from different geographic regions 2. Verify login response and page availability,Login works reliably from multiple regions via the multi-region deployment,,,,Requirement(s): NFR-SCAL-02,Low,No
